Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	115320	25.97	57660	0	49812	7848	6.35
BdenJEL423_SC02	2313122	55982	24.20	27991	0	23959	4032	5.94
BdenJEL423_SC03	1829408	48142	26.32	24071	0	20542	3529	5.82
BdenJEL423_SC04	1803316	48656	26.98	24328	0	20818	3510	5.93
BdenJEL423_SC05	1707251	43892	25.71	21946	0	18785	3161	5.94
BdenJEL423_SC06	1545501	39466	25.54	19733	0	16647	3086	5.39
BdenJEL423_SC07	1398854	35348	25.27	17674	0	15054	2620	5.75
BdenJEL423_SC08	1069847	26992	25.23	13496	0	11546	1950	5.92
BdenJEL423_SC09	1057463	27540	26.04	13770	0	11776	1994	5.91
BdenJEL423_SC10	1012305	26330	26.01	13165	0	11282	1883	5.99
BdenJEL423_SC11	979369	25570	26.11	12785	0	10959	1826	6.00
BdenJEL423_SC12	937107	25480	27.19	12740	0	10698	2042	5.24
BdenJEL423_SC13	898261	25758	28.68	12879	0	10993	1886	5.83
BdenJEL423_SC14	857155	16910	19.73	8455	0	7063	1392	5.07
BdenJEL423_SC15	557602	17740	31.81	8870	0	7623	1247	6.11
BdenJEL423_SC16	498254	13354	26.80	6677	0	5598	1079	5.19
BdenJEL423_SC17	243426	6936	28.49	3468	0	2936	532	5.52
BdenJEL423_SC18	48566	664	13.67	332	0	254	78	3.26
BdenJEL423_SC19	69118	940	13.60	470	0	364	106	3.43
BdenJEL423_SC20	45066	684	15.18	342	0	267	75	3.56
BdenJEL423_SC21	28371	876	30.88	438	0	372	66	5.64
BdenJEL423_SC22	17531	172	9.81	86	0	65	21	3.10
BdenJEL423_SC23	15724	94	5.98	47	0	36	11	3.27
BdenJEL423_SC24	15635	232	14.84	116	0	89	27	3.30
BdenJEL423_SC25	13302	106	7.97	53	0	41	12	3.42
BdenJEL423_SC26	12287	96	7.81	48	0	35	13	2.69
BdenJEL423_SC27	11745	76	6.47	38	0	28	10	2.80
BdenJEL423_SC28	11715	292	24.93	146	0	119	27	4.41
BdenJEL423_SC29	10519	156	14.83	78	0	62	16	3.88
BdenJEL423_SC30	9825	154	15.67	77	0	62	15	4.13
BdenJEL423_SC31	9499	96	10.11	48	0	37	11	3.36
BdenJEL423_SC32	9394	62	6.60	31	0	24	7	3.43
BdenJEL423_SC33	8891	176	19.80	88	0	72	16	4.50
BdenJEL423_SC34	8868	104	11.73	52	0	41	11	3.73
BdenJEL423_SC35	14477	40	2.76	20	0	14	6	2.33
BdenJEL423_SC36	8411	152	18.07	76	0	60	16	3.75
BdenJEL423_SC37	8246	144	17.46	72	0	58	14	4.14
BdenJEL423_SC38	7919	138	17.43	69	0	54	15	3.60
BdenJEL423_SC39	7486	82	10.95	41	0	31	10	3.10
BdenJEL423_SC40	7373	60	8.14	30	0	24	6	4.00
BdenJEL423_SC41	7250	190	26.21	95	0	43	52	0.83
BdenJEL423_SC42	7213	80	11.09	40	0	34	6	5.67
BdenJEL423_SC43	7203	112	15.55	56	0	41	15	2.73
BdenJEL423_SC44	7151	94	13.15	47	0	39	8	4.88
BdenJEL423_SC45	7120	142	19.94	71	0	50	21	2.38
BdenJEL423_SC46	7014	138	19.67	69	0	60	9	6.67
BdenJEL423_SC47	6856	16	2.33	8	0	7	1	7.00
BdenJEL423_SC48	6834	130	19.02	65	0	56	9	6.22
BdenJEL423_SC49	6519	8	1.23	4	0	3	1	3.00
BdenJEL423_SC50	6174	112	18.14	56	0	41	15	2.73
BdenJEL423_SC51	6095	8	1.31	4	0	4	0	0
BdenJEL423_SC52	6071	58	9.55	29	0	22	7	3.14
BdenJEL423_SC53	6016	4	0.66	2	0	2	0	0
BdenJEL423_SC54	5992	12	2.00	6	0	6	0	0
BdenJEL423_SC55	5977	20	3.35	10	0	9	1	9.00
BdenJEL423_SC56	5808	58	9.99	29	0	15	14	1.07
BdenJEL423_SC57	5752	36	6.26	18	0	15	3	5.00
BdenJEL423_SC58	8484	88	10.37	44	0	31	13	2.38
BdenJEL423_SC59	5694	156	27.40	78	0	58	20	2.90
BdenJEL423_SC60	5543	100	18.04	50	0	31	19	1.63
BdenJEL423_SC61	5512	28	5.08	14	0	9	5	1.80
BdenJEL423_SC62	5380	54	10.04	27	0	21	6	3.50
BdenJEL423_SC63	5288	94	17.78	47	0	36	11	3.27
BdenJEL423_SC64	5189	174	33.53	87	0	69	18	3.83
BdenJEL423_SC65	5077	30	5.91	15	0	10	5	2.00
BdenJEL423_SC66	4922	100	20.32	50	0	38	12	3.17
BdenJEL423_SC67	4755	128	26.92	64	0	51	13	3.92
BdenJEL423_SC68	4529	2	0.44	1	0	1	0	0
BdenJEL423_SC69	2608	4	1.53	2	0	1	1	1.00
BdenJEL423_mito	175284	2650	15.12	1325	0	435	890	0.49
Totals	23897668	609838	25.52	304919	0	259538	45381	5.72
