Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	79210	17.84	39605	0	34326	5279	6.50
BdenJEL423_SC02	2313122	37172	16.07	18586	0	15928	2658	5.99
BdenJEL423_SC03	1829408	31914	17.44	15957	0	13601	2356	5.77
BdenJEL423_SC04	1803316	33196	18.41	16598	0	14254	2344	6.08
BdenJEL423_SC05	1707251	30866	18.08	15433	0	13216	2217	5.96
BdenJEL423_SC06	1545501	27090	17.53	13545	0	11457	2088	5.49
BdenJEL423_SC07	1398854	24530	17.54	12265	0	10468	1797	5.83
BdenJEL423_SC08	1069847	17894	16.73	8947	0	7614	1333	5.71
BdenJEL423_SC09	1057463	19122	18.08	9561	0	8153	1408	5.79
BdenJEL423_SC10	1012305	17460	17.25	8730	0	7465	1265	5.90
BdenJEL423_SC11	979369	17010	17.37	8505	0	7275	1230	5.91
BdenJEL423_SC12	937107	17812	19.01	8906	0	7481	1425	5.25
BdenJEL423_SC13	898261	18160	20.22	9080	0	7744	1336	5.80
BdenJEL423_SC14	857155	11006	12.84	5503	0	4587	916	5.01
BdenJEL423_SC15	557602	12506	22.43	6253	0	5358	895	5.99
BdenJEL423_SC16	498254	9374	18.81	4687	0	3912	775	5.05
BdenJEL423_SC17	243426	5040	20.70	2520	0	2105	415	5.07
BdenJEL423_SC18	48566	402	8.28	201	0	145	56	2.59
BdenJEL423_SC19	69118	712	10.30	356	0	284	72	3.94
BdenJEL423_SC20	45066	364	8.08	182	0	138	44	3.14
BdenJEL423_SC21	28371	634	22.35	317	0	266	51	5.22
BdenJEL423_SC22	17531	88	5.02	44	0	32	12	2.67
BdenJEL423_SC23	15724	52	3.31	26	0	20	6	3.33
BdenJEL423_SC24	15635	144	9.21	72	0	51	21	2.43
BdenJEL423_SC25	13302	20	1.50	10	0	7	3	2.33
BdenJEL423_SC26	12287	14	1.14	7	0	5	2	2.50
BdenJEL423_SC27	11745	8	0.68	4	0	2	2	1.00
BdenJEL423_SC28	11715	172	14.68	86	0	67	19	3.53
BdenJEL423_SC29	10519	112	10.65	56	0	41	15	2.73
BdenJEL423_SC30	9825	90	9.16	45	0	38	7	5.43
BdenJEL423_SC31	9499	26	2.74	13	0	11	2	5.50
BdenJEL423_SC32	9394	6	0.64	3	0	3	0	0
BdenJEL423_SC33	8891	116	13.05	58	0	46	12	3.83
BdenJEL423_SC34	8868	64	7.22	32	0	25	7	3.57
BdenJEL423_SC35	14477	18	1.24	9	0	9	0	0
BdenJEL423_SC36	8411	120	14.27	60	0	43	17	2.53
BdenJEL423_SC37	8246	72	8.73	36	0	26	10	2.60
BdenJEL423_SC38	7919	112	14.14	56	0	42	14	3.00
BdenJEL423_SC39	7486	10	1.34	5	0	4	1	4.00
BdenJEL423_SC40	7373	66	8.95	33	0	25	8	3.12
BdenJEL423_SC41	7250	112	15.45	56	0	26	30	0.87
BdenJEL423_SC42	7213	36	4.99	18	0	14	4	3.50
BdenJEL423_SC43	7203	62	8.61	31	0	24	7	3.43
BdenJEL423_SC44	7151	32	4.47	16	0	13	3	4.33
BdenJEL423_SC45	7120	128	17.98	64	0	50	14	3.57
BdenJEL423_SC46	7014	86	12.26	43	0	32	11	2.91
BdenJEL423_SC47	6856	0	0.00	0	0	0	0	0
BdenJEL423_SC48	6834	22	3.22	11	0	9	2	4.50
BdenJEL423_SC49	6519	2	0.31	1	0	1	0	0
BdenJEL423_SC50	6174	64	10.37	32	0	24	8	3.00
BdenJEL423_SC51	6095	0	0.00	0	0	0	0	0
BdenJEL423_SC52	6071	26	4.28	13	0	10	3	3.33
BdenJEL423_SC53	6016	12	1.99	6	0	6	0	0
BdenJEL423_SC54	5992	0	0.00	0	0	0	0	0
BdenJEL423_SC55	5977	4	0.67	2	0	1	1	1.00
BdenJEL423_SC56	5808	14	2.41	7	0	3	4	0.75
BdenJEL423_SC57	5752	4	0.70	2	0	2	0	0
BdenJEL423_SC58	8484	56	6.60	28	0	18	10	1.80
BdenJEL423_SC59	5694	138	24.24	69	0	52	17	3.06
BdenJEL423_SC60	5543	26	4.69	13	0	6	7	0.86
BdenJEL423_SC61	5512	2	0.36	1	0	1	0	0
BdenJEL423_SC62	5380	40	7.43	20	0	14	6	2.33
BdenJEL423_SC63	5288	24	4.54	12	0	9	3	3.00
BdenJEL423_SC64	5189	130	25.05	65	0	48	17	2.82
BdenJEL423_SC65	5077	12	2.36	6	0	3	3	1.00
BdenJEL423_SC66	4922	48	9.75	24	0	19	5	3.80
BdenJEL423_SC67	4755	124	26.08	62	0	49	13	3.77
BdenJEL423_SC68	4529	0	0.00	0	0	0	0	0
BdenJEL423_SC69	2608	10	3.83	5	0	2	3	0.67
BdenJEL423_mito	175284	1262	7.20	631	0	171	460	0.37
Totals	23897668	415260	17.38	207630	0	176881	30749	5.75
