Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	12228	2.75	0	6114	123	58	2.12
BdenJEL423_SC02	2313122	7734	3.34	0	3867	98	47	2.09
BdenJEL423_SC03	1829408	7890	4.31	0	3945	101	48	2.10
BdenJEL423_SC04	1803316	5886	3.26	0	2943	60	35	1.71
BdenJEL423_SC05	1707251	5334	3.12	0	2667	62	20	3.10
BdenJEL423_SC06	1545501	6886	4.46	0	3443	97	45	2.16
BdenJEL423_SC07	1398854	5738	4.10	0	2869	63	30	2.10
BdenJEL423_SC08	1069847	4908	4.59	0	2454	58	30	1.93
BdenJEL423_SC09	1057463	3496	3.31	0	1748	32	14	2.29
BdenJEL423_SC10	1012305	4080	4.03	0	2040	58	20	2.90
BdenJEL423_SC11	979369	4216	4.30	0	2108	49	22	2.23
BdenJEL423_SC12	937107	6106	6.52	0	3053	69	36	1.92
BdenJEL423_SC13	898261	4450	4.95	0	2225	71	17	4.18
BdenJEL423_SC14	857155	6390	7.45	0	3195	95	46	2.07
BdenJEL423_SC15	557602	2096	3.76	0	1048	16	8	2.00
BdenJEL423_SC16	498254	3402	6.83	0	1701	60	18	3.33
BdenJEL423_SC17	243426	2224	9.14	0	1112	33	7	4.71
BdenJEL423_SC18	48566	700	14.41	0	350	13	13	1.00
BdenJEL423_SC19	69118	488	7.06	0	244	7	3	2.33
BdenJEL423_SC20	45066	542	12.03	0	271	8	4	2.00
BdenJEL423_SC21	28371	54	1.90	0	27	0	0	0
BdenJEL423_SC22	17531	314	17.91	0	157	5	3	1.67
BdenJEL423_SC23	15724	204	12.97	0	102	4	2	2.00
BdenJEL423_SC24	15635	168	10.75	0	84	2	1	2.00
BdenJEL423_SC25	13302	166	12.48	0	83	4	1	4.00
BdenJEL423_SC26	12287	124	10.09	0	62	0	1	0.00
BdenJEL423_SC27	11745	122	10.39	0	61	1	2	0.50
BdenJEL423_SC28	11715	128	10.93	0	64	2	1	2.00
BdenJEL423_SC29	10519	206	19.58	0	103	3	5	0.60
BdenJEL423_SC30	9825	166	16.90	0	83	3	0	0
BdenJEL423_SC31	9499	150	15.79	0	75	2	2	1.00
BdenJEL423_SC32	9394	78	8.30	0	39	1	0	0
BdenJEL423_SC33	8891	32	3.60	0	16	1	0	0
BdenJEL423_SC34	8868	140	15.79	0	70	1	1	1.00
BdenJEL423_SC35	14477	114	7.87	0	57	1	2	0.50
BdenJEL423_SC36	8411	114	13.55	0	57	0	2	0.00
BdenJEL423_SC37	8246	174	21.10	0	87	5	4	1.25
BdenJEL423_SC38	7919	60	7.58	0	30	0	1	0.00
BdenJEL423_SC39	7486	68	9.08	0	34	0	0	0
BdenJEL423_SC40	7373	48	6.51	0	24	0	2	0.00
BdenJEL423_SC41	7250	90	12.41	0	45	1	0	0
BdenJEL423_SC42	7213	92	12.75	0	46	0	0	0
BdenJEL423_SC43	7203	128	17.77	0	64	5	0	0
BdenJEL423_SC44	7151	110	15.38	0	55	7	2	3.50
BdenJEL423_SC45	7120	118	16.57	0	59	2	0	0
BdenJEL423_SC46	7014	58	8.27	0	29	2	1	2.00
BdenJEL423_SC47	6856	38	5.54	0	19	1	1	1.00
BdenJEL423_SC48	6834	78	11.41	0	39	0	0	0
BdenJEL423_SC49	6519	44	6.75	0	22	0	0	0
BdenJEL423_SC50	6174	164	26.56	0	82	1	0	0
BdenJEL423_SC51	6095	22	3.61	0	11	0	0	0
BdenJEL423_SC52	6071	62	10.21	0	31	2	0	0
BdenJEL423_SC53	6016	24	3.99	0	12	1	0	0
BdenJEL423_SC54	5992	28	4.67	0	14	2	0	0
BdenJEL423_SC55	5977	38	6.36	0	19	0	0	0
BdenJEL423_SC56	5808	72	12.40	0	36	0	0	0
BdenJEL423_SC57	5752	52	9.04	0	26	1	0	0
BdenJEL423_SC58	8484	112	13.20	0	56	0	3	0.00
BdenJEL423_SC59	5694	102	17.91	0	51	1	2	0.50
BdenJEL423_SC60	5543	80	14.43	0	40	1	0	0
BdenJEL423_SC61	5512	50	9.07	0	25	1	0	0
BdenJEL423_SC62	5380	72	13.38	0	36	2	0	0
BdenJEL423_SC63	5288	70	13.24	0	35	3	0	0
BdenJEL423_SC64	5189	94	18.12	0	47	3	2	1.50
BdenJEL423_SC65	5077	82	16.15	0	41	1	0	0
BdenJEL423_SC66	4922	100	20.32	0	50	1	1	1.00
BdenJEL423_SC67	4755	104	21.87	0	52	2	0	0
BdenJEL423_SC68	4529	6	1.32	0	3	0	0	0
BdenJEL423_SC69	2608	72	27.61	0	36	1	1	1.00
BdenJEL423_mito	175284	666	3.80	0	333	2	1	2.00
Totals	23897668	100252	4.20	0	50126	1251	565	2.21
