Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	49674	11.19	24837	0	21219	3618	5.86
BdenJEL423_SC02	2313122	26458	11.44	13229	0	11111	2118	5.25
BdenJEL423_SC03	1829408	23512	12.85	11756	0	9762	1994	4.90
BdenJEL423_SC04	1803316	22574	12.52	11287	0	9559	1728	5.53
BdenJEL423_SC05	1707251	20812	12.19	10406	0	8827	1579	5.59
BdenJEL423_SC06	1545501	20002	12.94	10001	0	8311	1690	4.92
BdenJEL423_SC07	1398854	18234	13.03	9117	0	7638	1479	5.16
BdenJEL423_SC08	1069847	13948	13.04	6974	0	5876	1098	5.35
BdenJEL423_SC09	1057463	12942	12.24	6471	0	5500	971	5.66
BdenJEL423_SC10	1012305	12746	12.59	6373	0	5298	1075	4.93
BdenJEL423_SC11	979369	13324	13.60	6662	0	5577	1085	5.14
BdenJEL423_SC12	937107	13246	14.13	6623	0	5403	1220	4.43
BdenJEL423_SC13	898261	13228	14.73	6614	0	5540	1074	5.16
BdenJEL423_SC14	857155	9126	10.65	4563	0	3742	821	4.56
BdenJEL423_SC15	557602	8556	15.34	4278	0	3645	633	5.76
BdenJEL423_SC16	498254	7522	15.10	3761	0	3097	664	4.66
BdenJEL423_SC17	243426	4138	17.00	2069	0	1706	363	4.70
BdenJEL423_SC18	48566	556	11.45	278	0	202	76	2.66
BdenJEL423_SC19	69118	754	10.91	377	0	298	79	3.77
BdenJEL423_SC20	45066	462	10.25	231	0	183	48	3.81
BdenJEL423_SC21	28371	448	15.79	224	0	186	38	4.89
BdenJEL423_SC22	17531	204	11.64	102	0	77	25	3.08
BdenJEL423_SC23	15724	56	3.56	28	0	18	10	1.80
BdenJEL423_SC24	15635	200	12.79	100	0	69	31	2.23
BdenJEL423_SC25	13302	144	10.83	72	0	53	19	2.79
BdenJEL423_SC26	12287	70	5.70	35	0	28	7	4.00
BdenJEL423_SC27	11745	38	3.24	19	0	13	6	2.17
BdenJEL423_SC28	11715	184	15.71	92	0	75	17	4.41
BdenJEL423_SC29	10519	136	12.93	68	0	49	19	2.58
BdenJEL423_SC30	9825	128	13.03	64	0	50	14	3.57
BdenJEL423_SC31	9499	80	8.42	40	0	27	13	2.08
BdenJEL423_SC32	9394	30	3.19	15	0	10	5	2.00
BdenJEL423_SC33	8891	60	6.75	30	0	22	8	2.75
BdenJEL423_SC34	8868	56	6.31	28	0	23	5	4.60
BdenJEL423_SC35	14477	10	0.69	5	0	3	2	1.50
BdenJEL423_SC36	8411	82	9.75	41	0	34	7	4.86
BdenJEL423_SC37	8246	128	15.52	64	0	42	22	1.91
BdenJEL423_SC38	7919	80	10.10	40	0	30	10	3.00
BdenJEL423_SC39	7486	58	7.75	29	0	22	7	3.14
BdenJEL423_SC40	7373	54	7.32	27	0	24	3	8.00
BdenJEL423_SC41	7250	80	11.03	40	0	21	19	1.11
BdenJEL423_SC42	7213	40	5.55	20	0	18	2	9.00
BdenJEL423_SC43	7203	108	14.99	54	0	46	8	5.75
BdenJEL423_SC44	7151	80	11.19	40	0	29	11	2.64
BdenJEL423_SC45	7120	98	13.76	49	0	38	11	3.45
BdenJEL423_SC46	7014	140	19.96	70	0	58	12	4.83
BdenJEL423_SC47	6856	2	0.29	1	0	0	1	0.00
BdenJEL423_SC48	6834	72	10.54	36	0	28	8	3.50
BdenJEL423_SC49	6519	32	4.91	16	0	14	2	7.00
BdenJEL423_SC50	6174	98	15.87	49	0	35	14	2.50
BdenJEL423_SC51	6095	8	1.31	4	0	4	0	0
BdenJEL423_SC52	6071	44	7.25	22	0	15	7	2.14
BdenJEL423_SC53	6016	6	1.00	3	0	2	1	2.00
BdenJEL423_SC54	5992	6	1.00	3	0	3	0	0
BdenJEL423_SC55	5977	18	3.01	9	0	6	3	2.00
BdenJEL423_SC56	5808	36	6.20	18	0	12	6	2.00
BdenJEL423_SC57	5752	14	2.43	7	0	6	1	6.00
BdenJEL423_SC58	8484	86	10.14	43	0	28	15	1.87
BdenJEL423_SC59	5694	116	20.37	58	0	44	14	3.14
BdenJEL423_SC60	5543	40	7.22	20	0	17	3	5.67
BdenJEL423_SC61	5512	22	3.99	11	0	7	4	1.75
BdenJEL423_SC62	5380	50	9.29	25	0	19	6	3.17
BdenJEL423_SC63	5288	62	11.72	31	0	22	9	2.44
BdenJEL423_SC64	5189	192	37.00	96	0	76	20	3.80
BdenJEL423_SC65	5077	8	1.58	4	0	1	3	0.33
BdenJEL423_SC66	4922	86	17.47	43	0	36	7	5.14
BdenJEL423_SC67	4755	74	15.56	37	0	33	4	8.25
BdenJEL423_SC68	4529	0	0.00	0	0	0	0	0
BdenJEL423_SC69	2608	0	0.00	0	0	0	0	0
BdenJEL423_mito	175284	710	4.05	355	0	120	235	0.51
Totals	23897668	296388	12.40	148194	0	124087	24107	5.15
