Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	115440	26.00	57720	0	49860	7860	6.34
BdenJEL423_SC02	2313122	56038	24.23	28019	0	23985	4034	5.95
BdenJEL423_SC03	1829408	48152	26.32	24076	0	20551	3525	5.83
BdenJEL423_SC04	1803316	48744	27.03	24372	0	20862	3510	5.94
BdenJEL423_SC05	1707251	43944	25.74	21972	0	18802	3170	5.93
BdenJEL423_SC06	1545501	39482	25.55	19741	0	16652	3089	5.39
BdenJEL423_SC07	1398854	35378	25.29	17689	0	15067	2622	5.75
BdenJEL423_SC08	1069847	27026	25.26	13513	0	11559	1954	5.92
BdenJEL423_SC09	1057463	27554	26.06	13777	0	11782	1995	5.91
BdenJEL423_SC10	1012305	26348	26.03	13174	0	11287	1887	5.98
BdenJEL423_SC11	979369	25574	26.11	12787	0	10960	1827	6.00
BdenJEL423_SC12	937107	25516	27.23	12758	0	10714	2044	5.24
BdenJEL423_SC13	898261	25802	28.72	12901	0	11013	1888	5.83
BdenJEL423_SC14	857155	16928	19.75	8464	0	7073	1391	5.08
BdenJEL423_SC15	557602	17758	31.85	8879	0	7633	1246	6.13
BdenJEL423_SC16	498254	13368	26.83	6684	0	5601	1083	5.17
BdenJEL423_SC17	243426	6946	28.53	3473	0	2940	533	5.52
BdenJEL423_SC18	48566	662	13.63	331	0	253	78	3.24
BdenJEL423_SC19	69118	946	13.69	473	0	367	106	3.46
BdenJEL423_SC20	45066	686	15.22	343	0	267	76	3.51
BdenJEL423_SC21	28371	876	30.88	438	0	372	66	5.64
BdenJEL423_SC22	17531	166	9.47	83	0	63	20	3.15
BdenJEL423_SC23	15724	94	5.98	47	0	36	11	3.27
BdenJEL423_SC24	15635	236	15.09	118	0	91	27	3.37
BdenJEL423_SC25	13302	106	7.97	53	0	41	12	3.42
BdenJEL423_SC26	12287	96	7.81	48	0	35	13	2.69
BdenJEL423_SC27	11745	74	6.30	37	0	28	9	3.11
BdenJEL423_SC28	11715	294	25.10	147	0	119	28	4.25
BdenJEL423_SC29	10519	156	14.83	78	0	62	16	3.88
BdenJEL423_SC30	9825	156	15.88	78	0	63	15	4.20
BdenJEL423_SC31	9499	100	10.53	50	0	38	12	3.17
BdenJEL423_SC32	9394	64	6.81	32	0	25	7	3.57
BdenJEL423_SC33	8891	176	19.80	88	0	72	16	4.50
BdenJEL423_SC34	8868	110	12.40	55	0	42	13	3.23
BdenJEL423_SC35	14477	40	2.76	20	0	14	6	2.33
BdenJEL423_SC36	8411	150	17.83	75	0	59	16	3.69
BdenJEL423_SC37	8246	148	17.95	74	0	59	15	3.93
BdenJEL423_SC38	7919	136	17.17	68	0	53	15	3.53
BdenJEL423_SC39	7486	80	10.69	40	0	30	10	3.00
BdenJEL423_SC40	7373	60	8.14	30	0	24	6	4.00
BdenJEL423_SC41	7250	190	26.21	95	0	43	52	0.83
BdenJEL423_SC42	7213	80	11.09	40	0	34	6	5.67
BdenJEL423_SC43	7203	116	16.10	58	0	43	15	2.87
BdenJEL423_SC44	7151	94	13.15	47	0	39	8	4.88
BdenJEL423_SC45	7120	146	20.51	73	0	52	21	2.48
BdenJEL423_SC46	7014	138	19.67	69	0	60	9	6.67
BdenJEL423_SC47	6856	14	2.04	7	0	6	1	6.00
BdenJEL423_SC48	6834	130	19.02	65	0	56	9	6.22
BdenJEL423_SC49	6519	8	1.23	4	0	3	1	3.00
BdenJEL423_SC50	6174	110	17.82	55	0	40	15	2.67
BdenJEL423_SC51	6095	6	0.98	3	0	3	0	0
BdenJEL423_SC52	6071	56	9.22	28	0	21	7	3.00
BdenJEL423_SC53	6016	4	0.66	2	0	2	0	0
BdenJEL423_SC54	5992	12	2.00	6	0	6	0	0
BdenJEL423_SC55	5977	20	3.35	10	0	9	1	9.00
BdenJEL423_SC56	5808	58	9.99	29	0	15	14	1.07
BdenJEL423_SC57	5752	38	6.61	19	0	16	3	5.33
BdenJEL423_SC58	8484	90	10.61	45	0	32	13	2.46
BdenJEL423_SC59	5694	156	27.40	78	0	58	20	2.90
BdenJEL423_SC60	5543	100	18.04	50	0	31	19	1.63
BdenJEL423_SC61	5512	28	5.08	14	0	9	5	1.80
BdenJEL423_SC62	5380	54	10.04	27	0	21	6	3.50
BdenJEL423_SC63	5288	88	16.64	44	0	34	10	3.40
BdenJEL423_SC64	5189	170	32.76	85	0	69	16	4.31
BdenJEL423_SC65	5077	30	5.91	15	0	10	5	2.00
BdenJEL423_SC66	4922	100	20.32	50	0	38	12	3.17
BdenJEL423_SC67	4755	128	26.92	64	0	51	13	3.92
BdenJEL423_SC68	4529	2	0.44	1	0	1	0	0
BdenJEL423_SC69	2608	4	1.53	2	0	1	1	1.00
BdenJEL423_mito	175284	2648	15.11	1324	0	434	890	0.49
Totals	23897668	610428	25.54	305214	0	259791	45423	5.72
