Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
BdenJEL423_SC01	4440149	29062	6.55	0	14531	519	208	2.50
BdenJEL423_SC02	2313122	18880	8.16	0	9440	445	197	2.26
BdenJEL423_SC03	1829408	18514	10.12	0	9257	416	227	1.83
BdenJEL423_SC04	1803316	14730	8.17	0	7365	289	147	1.97
BdenJEL423_SC05	1707251	13492	7.90	0	6746	285	133	2.14
BdenJEL423_SC06	1545501	17080	11.05	0	8540	378	197	1.92
BdenJEL423_SC07	1398854	14082	10.07	0	7041	314	148	2.12
BdenJEL423_SC08	1069847	12064	11.28	0	6032	287	164	1.75
BdenJEL423_SC09	1057463	8044	7.61	0	4022	123	60	2.05
BdenJEL423_SC10	1012305	10036	9.91	0	5018	260	132	1.97
BdenJEL423_SC11	979369	10214	10.43	0	5107	225	122	1.84
BdenJEL423_SC12	937107	14258	15.21	0	7129	364	169	2.15
BdenJEL423_SC13	898261	9806	10.92	0	4903	214	107	2.00
BdenJEL423_SC14	857155	17396	20.30	0	8698	449	299	1.50
BdenJEL423_SC15	557602	4710	8.45	0	2355	97	30	3.23
BdenJEL423_SC16	498254	7816	15.69	0	3908	198	85	2.33
BdenJEL423_SC17	243426	5230	21.48	0	2615	167	60	2.78
BdenJEL423_SC18	48566	2136	43.98	0	1068	78	45	1.73
BdenJEL423_SC19	69118	1126	16.29	0	563	30	9	3.33
BdenJEL423_SC20	45066	1314	29.16	0	657	51	23	2.22
BdenJEL423_SC21	28371	94	3.31	0	47	0	0	0
BdenJEL423_SC22	17531	872	49.74	0	436	37	23	1.61
BdenJEL423_SC23	15724	626	39.81	0	313	26	18	1.44
BdenJEL423_SC24	15635	484	30.96	0	242	14	8	1.75
BdenJEL423_SC25	13302	436	32.78	0	218	14	13	1.08
BdenJEL423_SC26	12287	284	23.11	0	142	8	3	2.67
BdenJEL423_SC27	11745	338	28.78	0	169	14	11	1.27
BdenJEL423_SC28	11715	294	25.10	0	147	10	5	2.00
BdenJEL423_SC29	10519	520	49.43	0	260	12	7	1.71
BdenJEL423_SC30	9825	438	44.58	0	219	12	9	1.33
BdenJEL423_SC31	9499	468	49.27	0	234	11	4	2.75
BdenJEL423_SC32	9394	280	29.81	0	140	14	3	4.67
BdenJEL423_SC33	8891	70	7.87	0	35	2	1	2.00
BdenJEL423_SC34	8868	416	46.91	0	208	12	12	1.00
BdenJEL423_SC35	14477	370	25.56	0	185	7	3	2.33
BdenJEL423_SC36	8411	290	34.48	0	145	7	6	1.17
BdenJEL423_SC37	8246	386	46.81	0	193	14	14	1.00
BdenJEL423_SC38	7919	136	17.17	0	68	6	0	0
BdenJEL423_SC39	7486	210	28.05	0	105	3	5	0.60
BdenJEL423_SC40	7373	144	19.53	0	72	4	3	1.33
BdenJEL423_SC41	7250	254	35.03	0	127	1	0	0
BdenJEL423_SC42	7213	192	26.62	0	96	7	1	7.00
BdenJEL423_SC43	7203	266	36.93	0	133	8	5	1.60
BdenJEL423_SC44	7151	310	43.35	0	155	13	5	2.60
BdenJEL423_SC45	7120	228	32.02	0	114	9	2	4.50
BdenJEL423_SC46	7014	172	24.52	0	86	3	4	0.75
BdenJEL423_SC47	6856	170	24.80	0	85	3	0	0
BdenJEL423_SC48	6834	160	23.41	0	80	4	0	0
BdenJEL423_SC49	6519	270	41.42	0	135	10	3	3.33
BdenJEL423_SC50	6174	336	54.42	0	168	6	6	1.00
BdenJEL423_SC51	6095	182	29.86	0	91	3	2	1.50
BdenJEL423_SC52	6071	168	27.67	0	84	5	1	5.00
BdenJEL423_SC53	6016	120	19.95	0	60	1	1	1.00
BdenJEL423_SC54	5992	134	22.36	0	67	0	0	0
BdenJEL423_SC55	5977	146	24.43	0	73	1	2	0.50
BdenJEL423_SC56	5808	192	33.06	0	96	8	4	2.00
BdenJEL423_SC57	5752	226	39.29	0	113	8	1	8.00
BdenJEL423_SC58	8484	298	35.12	0	149	11	11	1.00
BdenJEL423_SC59	5694	194	34.07	0	97	4	5	0.80
BdenJEL423_SC60	5543	214	38.61	0	107	4	2	2.00
BdenJEL423_SC61	5512	168	30.48	0	84	4	3	1.33
BdenJEL423_SC62	5380	204	37.92	0	102	10	7	1.43
BdenJEL423_SC63	5288	208	39.33	0	104	9	2	4.50
BdenJEL423_SC64	5189	188	36.23	0	94	6	4	1.50
BdenJEL423_SC65	5077	214	42.15	0	107	5	5	1.00
BdenJEL423_SC66	4922	182	36.98	0	91	4	3	1.33
BdenJEL423_SC67	4755	294	61.83	0	147	10	4	2.50
BdenJEL423_SC68	4529	80	17.66	0	40	0	0	0
BdenJEL423_SC69	2608	168	64.42	0	84	1	5	0.20
BdenJEL423_mito	175284	2058	11.74	0	1029	8	24	0.33
Totals	23897668	245142	10.26	0	122571	5582	2822	1.98
